Year,World_mean,Argentina,Australia,Austria,Bahrain,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Cambodia,Canada,Chad,Chile,China,Côte d'Ivoire,Croatia,Cyprus,Denmark,Ecuador,Egypt,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Montenegro,Morocco,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestinian Territories,Panama,Peru,Philippines,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Uganda,UK,Ukraine,United Arab Emirates,US,Venezuela,Vietnam,Zambia
1986,80.87730830530519,NA,100,74.16773733937448,NA,68.26940741514554,NA,NA,100,NA,NA,91.68149777747855,NA,NA,NA,NA,NA,NA,67.32702785520802,NA,NA,NA,NA,74.2501418101061,NA,78.81966481160862,NA,NA,91.14972471826923,NA,NA,NA,NA,NA,78.71707078260548,NA,92.57771245869712,NA,80.19121808309858,NA,NA,NA,NA,NA,NA,60.686302735726485,NA,NA,NA,NA,NA,NA,46.64351538513489,NA,NA,88.14642742274854,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,54.707871131272,NA,NA,94.95332990916904,94.41004234214897,84.10863400896275,90.6931090423119,89.2885504697044,46.2397473499248,82.7942323012989,NA,NA,NA,NA,NA,73.59646534136512,NA,NA,99.3905854465756,NA,NA,NA
1987,59.32093250143423,NA,36.34397705249943,73.35254029739485,NA,56.432707321293506,NA,NA,96.87359430287633,NA,NA,40.13160109831144,NA,79.85490641195773,NA,NA,NA,NA,55.323312672096925,NA,NA,NA,55.08210542242566,42.92579312683048,NA,42.50717119268932,NA,NA,64.92259023319178,NA,NA,97.76298762712166,NA,NA,50.41141627916679,95.58192986694293,57.759231800411634,NA,57.393218402399306,NA,NA,NA,NA,NA,NA,30.66697388795816,NA,NA,NA,NA,NA,NA,24.449635029981344,NA,NA,39.60656795370742,NA,NA,NA,NA,NA,90.87379441422212,NA,NA,NA,NA,NA,NA,20.856263876945302,NA,NA,57.74154279827543,94.83304232428159,68.91811849128773,93.2085228875737,42.44686301045013,18.32710159950539,92.88118303391158,73.1113043217538,NA,NA,NA,NA,36.04498582975948,NA,NA,52.32392497723816,NA,NA,NA
1988,73.3973288645646,NA,69.88663911363118,62.133570859386424,NA,62.002044544993005,NA,NA,100,NA,NA,60.102741089098174,NA,91.23000855515467,NA,NA,NA,NA,67.18079549351012,NA,NA,NA,69.54357824000638,74.26754324183183,NA,58.930449989713395,NA,88.26249801156679,53.51540823066957,NA,NA,94.31508037568273,NA,NA,74.54849900456313,93.22177728447272,69.90423259770205,NA,69.4126036244186,NA,NA,NA,NA,NA,NA,31.47660132104395,NA,NA,99.93604770928638,NA,87.96379733202915,NA,48.875388743021276,82.55476946017637,NA,77.70809818147055,NA,NA,NA,NA,NA,90.57575445935946,NA,NA,NA,NA,NA,NA,25.496550140604903,NA,NA,86.0755309156221,88.31330868313994,48.35714211879335,91.50152256132199,57.29279995183526,49.89641720059006,93.3891511700371,78.1542971110604,NA,NA,97.11522119464641,NA,65.70004339091673,NA,NA,83.4639272229695,NA,NA,NA
1989,66.88942258773089,NA,69.75323384149318,65.58009999743038,NA,55.48025897860086,NA,NA,100,NA,NA,54.56536703109228,NA,87.14695586433345,NA,NA,NA,NA,56.703223569951646,NA,NA,NA,60.969837530118596,34.64512305583336,NA,34.07213551689885,NA,79.20680052607172,76.33178881242415,NA,NA,88.93256903657438,NA,NA,39.82440540826111,90.47923492598477,49.09337904896336,NA,58.42918708754428,92.30964935177913,NA,NA,NA,NA,NA,34.16201303572546,NA,NA,88.53131599469475,NA,72.99417898545005,NA,33.29249049593066,66.09249506356822,NA,59.81707995685842,NA,91.45767539325193,NA,NA,NA,87.93928393296211,NA,NA,NA,NA,NA,NA,36.24640932366814,NA,NA,66.33696630520618,86.66043601215215,42.48142016266723,88.92693958609813,50.08536233877523,29.46643710620385,89.62282249615377,93.2249505219593,NA,NA,97.04512002190906,NA,53.399024168425576,NA,NA,80.492387848758,NA,NA,NA
1990,71.69823446058389,98.97734406218568,80.12051140292789,58.709374018206795,NA,37.00260216605822,NA,NA,96.3239525737082,NA,NA,80.04195219784411,NA,90.91990229516347,NA,NA,NA,NA,55.958021578273346,NA,NA,NA,85.17308649156938,32.37150986121839,NA,37.434439239080405,NA,90.54926204555886,49.70380813969748,NA,NA,99.49378108209088,100,NA,65.60149463190193,87.14857614299775,48.73961582177749,NA,64.15101332376382,82.2422760936863,100,NA,NA,NA,NA,45.734697415367066,NA,NA,74.54169180378987,NA,91.4873533164469,NA,33.38036550789943,65.16660006640552,NA,66.57470408731912,NA,100,NA,NA,NA,89.80374746728128,NA,NA,NA,NA,NA,NA,36.60572021275339,NA,NA,91.14194071066252,92.87385282355429,41.461186891185385,100,46.98377460427579,32.02825469838376,87.3511573720854,66.20763600277388,NA,NA,91.72502314326651,NA,62.84157589718448,NA,NA,83.05580769559448,NA,NA,NA
1991,62.895087226834754,97.58760464411974,69.29332125483637,27.892435863896836,NA,18.00920553980452,NA,NA,95.04206243363143,NA,NA,75.25751542188786,NA,92.54131258367389,91.69957111790656,NA,NA,NA,22.88618212842004,NA,NA,NA,55.07409610642847,16.700696516802893,NA,16.90154948677607,NA,58.59039623373118,58.01813915687697,86.73555624971833,NA,97.54227263231203,84.56924514834463,NA,27.34727945016364,80.58432752060315,29.147716457293306,NA,55.98680376263921,82.6096031606772,95.29940480276127,NA,NA,NA,NA,46.256624322186354,NA,NA,68.17045406844227,NA,99.6762037028848,NA,14.559323268138957,69.47042540207308,NA,48.364065335060836,NA,100,NA,NA,93.88384318986887,83.87310359640433,NA,NA,NA,NA,NA,NA,31.200551601215597,NA,NA,64.59687853737243,76.93817370760904,23.635416227599173,94.16417548152,35.53691095761856,16.13147090018634,91.063856909082,76.23805568569635,NA,NA,84.6261394280187,NA,27.31410406149848,NA,NA,86.36776392494751,NA,NA,NA
1992,75.89044393993987,95.45612376264548,67.0894437933036,46.6928780308121,NA,44.71012081418746,NA,NA,99.28426173269972,NA,NA,92.04158598663173,NA,98.86055380783577,89.09741183992634,NA,NA,NA,56.87019503820759,NA,NA,NA,78.02226043924267,39.773360273378614,NA,30.839647847713415,NA,79.9591016174228,79.21815583863882,84.75744034053754,NA,98.593025360102,80.25052685184446,NA,63.773308769283055,98.39853779905502,73.96855982895704,NA,81.9045152379305,81.00497084061695,100,NA,NA,67.95084619155023,NA,68.20403960367693,NA,NA,85.34851015124298,NA,93.81764973414293,NA,29.653161521761405,66.12881308303345,NA,68.5837830430411,NA,99.83224455595308,NA,45.84283078040991,94.08887689520117,97.16852643266598,NA,NA,NA,NA,NA,NA,58.36387392636355,NA,NA,64.9183243818378,89.51602510420392,64.24708115322599,100,59.14842524977344,47.21020003656684,93.86056609982009,98.38066253937225,NA,NA,99.0155824773849,NA,46.59971662096068,NA,NA,92.51469580407276,NA,NA,NA
1993,81.0958304850717,97.31348722216804,81.35824941033663,46.33410249224532,NA,58.980804640630865,NA,NA,100,NA,NA,94.02985307642727,NA,95.24555414106914,95.9246482948804,NA,NA,NA,66.59594860663852,100,NA,NA,70.11468529129355,49.38188079706699,NA,40.0694515181297,NA,95.50934578484724,83.26591979035692,87.29089634614752,81.25720791639712,98.49118530951812,85.83849612129211,NA,72.15466290074595,95.49887971777596,79.81915793841017,NA,93.68748033086035,84.50261454339618,99.7569567136893,NA,NA,83.73302119785873,NA,87.40464140071103,NA,NA,85.2481614673923,NA,87.23346320396203,NA,26.776739058119393,71.24673737033685,NA,63.43703313315289,NA,92.754799899335,NA,93.31492889745189,94.04475230646712,94.10216503069464,NA,NA,NA,NA,NA,NA,63.750244311716195,100,NA,91.67387145379334,88.0326887424734,60.43411084784152,92.54906625929661,71.36920371294127,45.257355819023545,91.32259102845465,89.35748377426229,NA,NA,100,NA,50.22204578624613,NA,NA,98.00912016265922,NA,NA,NA
1994,78.37674464560602,77.47465393036298,71.74526371249847,53.776179936435796,NA,39.430547819751105,NA,NA,95.89773541124516,NA,NA,76.02383987576503,NA,86.92267008673927,100,NA,NA,NA,55.64173201166881,100,NA,NA,54.680437101808685,46.30356911375988,NA,51.82740816340714,NA,83.29258416143387,50.72814844131334,88.32173408674696,95.08037482145464,100,92.06329695918943,NA,55.89655120604912,96.82604050294309,87.68717855142653,NA,93.35225032852715,97.37597813823895,100,NA,NA,81.74780752647669,NA,59.667279350228164,NA,NA,90.76910101567903,NA,97.51747543504851,NA,31.794263857285042,66.54450052867776,NA,49.14560211372194,NA,96.35611270773417,NA,100,88.13753831573393,90.8618543588469,NA,NA,NA,NA,NA,NA,35.98663487349534,93.36897247581477,95.50746404595529,91.72855199844638,99.0322448819694,57.711838141680595,100,59.792018315681474,53.29270827092189,97.34475911330446,65.03625179431104,NA,NA,95.45050824626449,NA,58.28135482105623,NA,NA,91.7909603768084,100,NA,NA
1995,76.95647014884626,57.4614626495867,86.23164103634286,41.0658167565711,NA,33.88422043197241,NA,NA,90.71866735640172,NA,NA,88.68792744713407,NA,67.96442822162639,100,NA,NA,NA,51.734849772097526,96.31240227139067,99.70544355527434,NA,62.28958735463803,55.942987813240684,NA,37.45991415717243,NA,74.771488101393075,62.65145022610543,88.0101801960202,90.85837364416504,97.9309753275351,74.2113452641447,NA,57.74391068822035,99.26925818041539,81.79931779679802,NA,82.21947782914506,100,99.30065666706518,100,NA,47.34628877525461,NA,56.68943307849226,NA,NA,77.45781844015022,NA,79.16050389380301,NA,26.938829847451508,83.33808586489006,98.55688132251824,48.89834378208862,NA,100,NA,89.65161587474138,84.43594570880914,81.50333360743416,NA,NA,NA,100,NA,NA,54.172268309578605,94.83257875656868,94.8943628655563,87.54939193246042,99.92234971430531,53.27965747446254,96.32108700982714,64.93745048463488,31.094506719986327,96.3353203730659,65.00467814038946,NA,NA,100,NA,55.874506032420335,NA,NA,86.18483743319878,100,NA,NA
